Duration mean, 118.41901543209876, std dev, 1.4101755144032884
Rel slew mean, 0.07471485598927681, std dev, 0.004389183209822388
Rel wait mean, 0.3127171490462575, std dev, 0.014543630652638317
Rel obs mean, 0.6125679949644658, std dev, 0.014693894782743269
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
71, 115.92583333333334, 8.501944444444444, 36.3, 71.12388888888889, 0.07333951544689732, 0.31313124052016017, 0.6135292440329425, 3, 6, 106, 57, 170, 10, 23, 11, 
72, 118.14277777777778, 9.22, 36.9, 72.02277777777778, 0.07804116488053532, 0.31233394621385613, 0.6096248889056085, 5, 1, 106, 55, 171, 21, 19, 14, 
73, 118.03277777777778, 9.748055555555554, 37.333333333333336, 70.95138888888889, 0.08258769927374222, 0.3162963207018766, 0.6011159800243812, 4, 2, 105, 53, 172, 11, 16, 15, 
74, 115.92861111111111, 8.250277777777777, 34.85, 72.82833333333333, 0.07116688191727188, 0.3006160400438009, 0.6282170780389272, 3, 2, 105, 51, 169, 13, 13, 13, 
75, 116.90722222222223, 8.258611111111112, 36.416666666666664, 72.23194444444445, 0.07064243726031563, 0.3115005726288177, 0.6178569901108666, 4, 1, 111, 48, 170, 17, 17, 13, 
76, 117.94638888888889, 8.837222222222223, 36.233333333333334, 72.87583333333333, 0.07492575487450749, 0.30720171829479964, 0.6178725268306928, 4, 3, 120, 41, 172, 13, 18, 16, 
77, 118.28527777777778, 9.163055555555555, 33.86666666666667, 75.25555555555556, 0.0774657313885686, 0.28631345593398255, 0.6362208126774488, 5, 2, 111, 53, 173, 18, 20, 18, 
78, 117.97833333333334, 8.684722222222222, 40.6, 68.69361111111111, 0.07361285735139692, 0.34413098450280416, 0.5822561581457989, 3, 5, 104, 55, 177, 5, 15, 22, 
79, 117.02333333333333, 8.789444444444444, 35.63333333333333, 72.60055555555554, 0.07510847789139867, 0.30449767852565013, 0.6203938435829511, 5, 1, 117, 48, 179, 11, 25, 20, 
80, 118.24, 9.217777777777778, 35.416666666666664, 73.60555555555555, 0.0779582017741693, 0.2995320252593595, 0.6225097729664713, 4, 1, 100, 54, 169, 12, 11, 13, 
81, 118.06027777777777, 9.38, 36.63333333333333, 72.04694444444445, 0.07945093960947444, 0.3102934706141166, 0.6102555897764089, 4, 3, 104, 55, 172, 12, 22, 10, 
